,IM,EQRecord,MaxDrift,MaxAbsAccel,MaxRelativeAccel,ResDrift,Iffinish
0,0.1,Resources/FEMA_P-695_far-field_ground_motions/RSN68_SFERN_PEL090,[0.00447958 0.00468499 0.0034725 ],[0.718203 1.07347  1.05113  1.20397 ],[0.      1.12765 1.26218 1.6831 ],0.000584529,1.0
1,0.3111111111111111,Resources/FEMA_P-695_far-field_ground_motions/RSN68_SFERN_PEL090,[0.0234652 0.025296  0.0233666],[2.23441 2.87278 2.85665 2.32729],[0.      3.03369 3.00402 3.50262],0.00365683,1.0
2,0.5222222222222223,Resources/FEMA_P-695_far-field_ground_motions/RSN68_SFERN_PEL090,[0.0434113 0.0474584 0.0491424],[3.75062 4.18498 3.74087 2.45715],[0.      5.68866 5.13762 5.0901 ],0.00339546,1.0
3,0.7333333333333333,Resources/FEMA_P-695_far-field_ground_motions/RSN68_SFERN_PEL090,[0.0738536 0.0799489 0.0924795],[5.26682 4.65267 3.82209 2.61874],[0.      8.19417 7.21871 6.34399],0.0141313,1.0
4,0.9444444444444444,Resources/FEMA_P-695_far-field_ground_motions/RSN68_SFERN_PEL090,[0.0924744 0.117481  0.121535 ],[6.78303 4.69966 3.93134 2.75572],[ 0.      10.5054   8.54139  7.96198],0.0167219,1.0
5,1.1555555555555557,Resources/FEMA_P-695_far-field_ground_motions/RSN68_SFERN_PEL090,[0.141483 0.189627 0.11926 ],[8.29924 4.84607 4.04243 2.88563],[ 0.      12.183    9.73732  9.11539],0.0222523,1.0
6,1.3666666666666667,Resources/FEMA_P-695_far-field_ground_motions/RSN68_SFERN_PEL090,[0.190493 0.211693 0.125677],[9.81545 4.97287 4.22091 2.91744],[ 0.     13.7009 11.3376 10.3127],0.0350353,1.0
7,1.577777777777778,Resources/FEMA_P-695_far-field_ground_motions/RSN68_SFERN_PEL090,[0.28385  0.224881 0.158545],[11.3317   5.12463  4.43364  2.97406],[ 0.     15.2037 12.6299 11.4998],0.0315868,1.0
8,1.788888888888889,Resources/FEMA_P-695_far-field_ground_motions/RSN68_SFERN_PEL090,[0.413258 0.228592 0.175416],[12.8479   5.2597   4.58881  3.10256],[ 0.     16.7008 13.5802 12.767 ],0.0395185,1.0
9,2.0,Resources/FEMA_P-695_far-field_ground_motions/RSN68_SFERN_PEL090,[0.514051 0.222703 0.187678],[14.3641   5.40194  4.64911  3.16641],[ 0.     18.2061 14.5561 14.0314],0.0375562,1.0
10,0.1,Resources/FEMA_P-695_far-field_ground_motions/RSN125_FRIULI.A_A-TMZ000,[0.00382338 0.00394028 0.00387444],[0.9072   0.959855 1.00728  1.2296  ],[0.      1.02669 1.26385 1.68315],0.000305652,1.0
11,0.3111111111111111,Resources/FEMA_P-695_far-field_ground_motions/RSN125_FRIULI.A_A-TMZ000,[0.0154119  0.0123097  0.00751994],[2.8224  2.42114 2.11198 1.43485],[0.      3.20086 3.01084 3.40213],0.00250125,1.0
12,0.5222222222222223,Resources/FEMA_P-695_far-field_ground_motions/RSN125_FRIULI.A_A-TMZ000,[0.0386058  0.0169002  0.00490716],[4.7376  2.77585 1.62565 1.34945],[0.      4.49123 4.93258 4.61342],0.00279215,1.0
13,0.7333333333333333,Resources/FEMA_P-695_far-field_ground_motions/RSN125_FRIULI.A_A-TMZ000,[0.0629689 0.0235201 0.0079594],[6.6528  3.22534 2.36671 1.62045],[0.      6.34822 6.91233 6.19678],0.012623200000000001,1.0
14,0.9444444444444444,Resources/FEMA_P-695_far-field_ground_motions/RSN125_FRIULI.A_A-TMZ000,[0.0899294 0.0246752 0.0105419],[8.568   3.25562 1.84042 1.706  ],[0.      7.48549 7.9061  7.79138],0.0204191,1.0
15,1.1555555555555557,Resources/FEMA_P-695_far-field_ground_motions/RSN125_FRIULI.A_A-TMZ000,[0.113411  0.0294106 0.0152419],[10.4832   3.52168  2.41847  2.05184],[0.      9.47794 9.57719 9.20815],0.020626099999999998,1.0
16,1.3666666666666667,Resources/FEMA_P-695_far-field_ground_motions/RSN125_FRIULI.A_A-TMZ000,[0.141871  0.0344714 0.0207685],[12.3984   4.67624  3.41188  2.07453],[ 0.     11.9775 11.1004 11.6019],0.018054499999999998,1.0
17,1.577777777777778,Resources/FEMA_P-695_far-field_ground_motions/RSN125_FRIULI.A_A-TMZ000,[0.165529  0.0389327 0.0246492],[14.3136   4.88238  3.66639  2.19891],[ 0.     14.2127 13.326  13.1481],0.0145401,1.0
18,1.788888888888889,Resources/FEMA_P-695_far-field_ground_motions/RSN125_FRIULI.A_A-TMZ000,[0.179136  0.0408313 0.0281003],[16.2288   4.97523  3.77229  2.39712],[ 0.     16.0824 15.7137 14.9291],0.0114944,1.0
19,2.0,Resources/FEMA_P-695_far-field_ground_motions/RSN125_FRIULI.A_A-TMZ000,[0.1868    0.0433981 0.0305134],[18.144    4.97191  3.85111  2.61031],[ 0.     17.695  17.706  17.0212],0.00508457,1.0
20,0.1,Resources/FEMA_P-695_far-field_ground_motions/RSN169_IMPVALL.H_H-DLT262,[0.0051176  0.003837   0.00259661],[0.467364 0.719978 0.846607 1.17344 ],[0.       0.884995 1.07075  1.38466 ],0.000454484,1.0
21,0.3111111111111111,Resources/FEMA_P-695_far-field_ground_motions/RSN169_IMPVALL.H_H-DLT262,[0.019989  0.016747  0.0124093],[1.45402 2.21982 2.13503 1.761  ],[0.      2.37276 2.75802 2.75967],0.00247528,1.0
22,0.5222222222222223,Resources/FEMA_P-695_far-field_ground_motions/RSN169_IMPVALL.H_H-DLT262,[0.02682   0.0299568 0.0257713],[2.44068 3.08467 3.00342 2.34671],[0.      4.1941  4.17729 3.98853],0.0026015,1.0
23,0.7333333333333333,Resources/FEMA_P-695_far-field_ground_motions/RSN169_IMPVALL.H_H-DLT262,[0.0381651 0.0419937 0.0615598],[3.42734 3.80183 3.66303 2.46614],[0.      6.3845  5.84795 5.31186],0.00564099,1.0
24,0.9444444444444444,Resources/FEMA_P-695_far-field_ground_motions/RSN169_IMPVALL.H_H-DLT262,[0.0610569 0.0629574 0.116192 ],[4.414   4.41443 3.75228 2.63021],[0.      8.05523 7.25311 6.23762],0.0297962,1.0
25,1.1555555555555557,Resources/FEMA_P-695_far-field_ground_motions/RSN169_IMPVALL.H_H-DLT262,[0.0908939 0.106021  0.164121 ],[5.40066 4.55015 3.9572  2.71832],[0.      9.65633 8.28698 7.15489],0.0509899,1.0
26,1.3666666666666667,Resources/FEMA_P-695_far-field_ground_motions/RSN169_IMPVALL.H_H-DLT262,[0.12406  0.187428 0.15752 ],[6.38731 4.71179 4.03188 2.75312],[ 0.      10.8233   9.23605  8.09997],0.0489381,1.0
27,1.577777777777778,Resources/FEMA_P-695_far-field_ground_motions/RSN169_IMPVALL.H_H-DLT262,[0.186086 0.208379 0.183031],[7.37397 4.82322 4.14072 2.75066],[ 0.      11.917    9.81961  8.54155],0.06558760000000001,1.0
28,1.788888888888889,Resources/FEMA_P-695_far-field_ground_motions/RSN169_IMPVALL.H_H-DLT262,[0.256217 0.221091 0.20486 ],[8.36063 5.03537 4.23517 2.70415],[ 0.      12.6542  10.98     9.36738],0.0669423,1.0
29,2.0,Resources/FEMA_P-695_far-field_ground_motions/RSN169_IMPVALL.H_H-DLT262,[0.343447 0.235878 0.192616],[9.34729 5.01339 4.29022 2.76462],[ 0.     12.9705 11.2882 10.5852],0.07267280000000001,1.0
30,0.1,Resources/FEMA_P-695_far-field_ground_motions/RSN174_IMPVALL.H_H-E11140,[0.00362875 0.00388843 0.00686915],[0.838407 1.5367   1.76772  1.3849  ],[0.      1.65825 2.25694 1.69615],0.00119034,1.0
31,0.3111111111111111,Resources/FEMA_P-695_far-field_ground_motions/RSN174_IMPVALL.H_H-E11140,[0.0207377 0.0199194 0.018162 ],[2.60838 2.69839 2.50661 2.1761 ],[0.      3.83592 4.84102 3.12447],0.00200971,1.0
32,0.5222222222222223,Resources/FEMA_P-695_far-field_ground_motions/RSN174_IMPVALL.H_H-E11140,[0.0614592 0.0358725 0.0396709],[4.37835 3.93025 3.21917 2.45659],[0.      4.55243 6.3119  4.69445],0.00710517,1.0
33,0.7333333333333333,Resources/FEMA_P-695_far-field_ground_motions/RSN174_IMPVALL.H_H-E11140,[0.126783  0.0692454 0.050937 ],[6.14832 4.5562  3.66876 2.57859],[0.      8.71445 8.72998 7.10205],0.0317262,1.0
34,0.9444444444444444,Resources/FEMA_P-695_far-field_ground_motions/RSN174_IMPVALL.H_H-E11140,[0.212851  0.0611795 0.136114 ],[7.91829 4.46861 3.92029 2.843  ],[ 0.      10.7829   8.22848  8.72853],0.055102899999999996,1.0
35,1.1555555555555557,Resources/FEMA_P-695_far-field_ground_motions/RSN174_IMPVALL.H_H-E11140,[0.295206  0.0580501 0.126179 ],[9.68826 4.57553 3.99219 3.07678],[ 0.     10.7114 10.132  10.3407],0.0642595,1.0
36,1.3666666666666667,Resources/FEMA_P-695_far-field_ground_motions/RSN174_IMPVALL.H_H-E11140,[0.349952  0.0626205 0.139266 ],[11.4582   4.63392  4.25794  3.11275],[ 0.     11.888  11.8096 11.9679],0.0703577,1.0
37,1.577777777777778,Resources/FEMA_P-695_far-field_ground_motions/RSN174_IMPVALL.H_H-E11140,[0.385997  0.0745089 0.148956 ],[13.2282   4.75204  4.46528  3.07585],[ 0.     13.5956 13.5842 13.6269],0.0457995,1.0
38,1.788888888888889,Resources/FEMA_P-695_far-field_ground_motions/RSN174_IMPVALL.H_H-E11140,[0.423773  0.0804806 0.149298 ],[14.9982   4.76603  4.57898  3.2334 ],[ 0.     15.3462 15.3402 15.3538],0.036814599999999996,1.0
39,2.0,Resources/FEMA_P-695_far-field_ground_motions/RSN174_IMPVALL.H_H-E11140,[0.445949 0.105429 0.164424],[16.7681   5.04346  4.61271  3.37328],[ 0.     17.1323 17.0902 17.0707],0.0490045,1.0
40,0.1,Resources/FEMA_P-695_far-field_ground_motions/RSN721_SUPER.B_B-ICC000,[0.00490653 0.00418308 0.00335919],[0.523678 0.924545 1.16957  1.1851  ],[0.       0.735209 1.31855  1.44547 ],0.000639375,1.0
41,0.3111111111111111,Resources/FEMA_P-695_far-field_ground_motions/RSN721_SUPER.B_B-ICC000,[0.022514   0.00995654 0.00398476],[1.62922 1.48826 1.33068 1.30992],[0.      1.49724 2.6657  2.61302],0.00543565,1.0
42,0.5222222222222223,Resources/FEMA_P-695_far-field_ground_motions/RSN721_SUPER.B_B-ICC000,[0.0481609 0.0357992 0.0156589],[2.73476 3.09064 2.18936 2.13127],[0.      2.82814 4.91056 4.2481 ],0.00925246,1.0
43,0.7333333333333333,Resources/FEMA_P-695_far-field_ground_motions/RSN721_SUPER.B_B-ICC000,[0.0808375 0.0473896 0.0304184],[3.8403  3.42679 2.69293 2.54962],[0.      4.61741 5.42922 6.24304],0.0195193,1.0
44,0.9444444444444444,Resources/FEMA_P-695_far-field_ground_motions/RSN721_SUPER.B_B-ICC000,[0.0783412 0.0617542 0.045815 ],[4.94585 4.36678 3.83149 2.41394],[0.      5.71539 7.56989 6.85168],0.014263900000000001,1.0
45,1.1555555555555557,Resources/FEMA_P-695_far-field_ground_motions/RSN721_SUPER.B_B-ICC000,[0.12519   0.0522856 0.0429242],[6.05139 4.45448 3.71175 2.48503],[0.      7.58169 9.18265 6.86228],0.021962799999999998,1.0
