City,Design Level,PGA,EQgroup,District
北京市,8 度,0.20g,第二组,东城区、西城区、朝阳区、丰台区、石景山区、海淀区、门头沟区、房山区、通州区、顺义区、昌平区、大兴区、怀柔区、平谷区、密云区、延庆区
天津市,8 度,0.20g,第二组,和平区、河东区、河西区、南开区、河北区、红桥区、东丽区、津南区、北辰区、武清区、宝坻区、滨海新区、宁河区
,7 度,0.15g,第二组,西青区、静海区、蓟县
石家庄市,7 度,0.15g,第一组,辛集市
,7 度,0.10g,第一组,赵县
,7 度,0.10g,第二组,长安区、桥西区、新华区、井陉矿区、裕华区、栾城区、藁城区、鹿泉区、井陉县、正定县、高邑县、深泽县、无极县、平山县、元氏县、晋州市
,7 度,0.10g,第三组,灵寿县
,6 度,0.05g,第三组,行唐县、赞皇县、新乐市
唐山市,8 度,0.30g,第二组,路南区、丰南区
,8 度,0.20g,第二组,路北区、古冶区、开平区、丰润区、滦县
,7 度,0.15g,第三组,曹妃甸区（唐海）、乐亭县、玉田县
,7 度,0.15g,第二组,滦南县、迁安市
,7 度,0.10g,第三组,迁西县、遵化市
秦皇岛市,7 度,0.15g,第二组,卢龙县
,7 度,0.10g,第三组,青龙满族自治县、海港区
,7 度,0.10g,第二组,抚宁区、北戴河区、昌黎县
,6 度,0.05g,第三组,山海关区
邯郸市,8 度,0.20g,第二组,峰峰矿区、临漳县、磁县
,7 度,0.15g,第二组,邯山区、丛台区、复兴区、邯郸县、成安县、大名县、魏县、武安市
,7 度,0.15g,第一组,永年县
,7 度,0.10g,第三组,邱县、馆陶县
,7 度,0.10g,第二组,涉县、肥乡县、鸡泽县、广平县、曲周县
邢台市,7 度,0.15g,第一组,桥东区、桥西区、邢台县1、内丘县、柏乡县、隆尧县、任县、南和县、宁晋县、巨鹿县、新河县、沙河市
,7 度,0.10g,第二组,临城县、广宗县、平乡县、南宫市
,6 度,0.05g,第三组,威县、清河县、临西县
保定市,7 度,0.15g,第二组,涞水县、定兴县、涿州市、高碑店市
,7 度,0.10g,第二组,竞秀区、莲池区、徐水区、高阳县、容城县、安新县、易县、蠡县、博野县、雄县
,7 度,0.10g,第三组,清苑区、涞源县、安国市
,6 度,0.05g,第三组,满城区、阜平县、唐县、望都县、曲阳县、顺平县、定州市
张家口市,8 度,0.20g,第二组,下花园区、怀来县、涿鹿县
,7 度,0.15g,第二组,桥东区、桥西区、宣化区、宣化县2、蔚县、阳原县、怀安县、万全县
,7 度,0.10g,第三组,赤城县
,7 度,0.10g,第二组,张北县、尚义县、崇礼县
,6 度,0.05g,第三组,沽源县
,6 度,0.05g,第二组,康保县
承德市,7 度,0.10g,第三组,鹰手营子矿区、兴隆县
,6 度,0.05g,第三组,双桥区、双滦区、承德县、平泉县、滦平县、隆化县、丰宁满族自治县、宽城满族自治县
,6 度,0.05g,第一组,围场满族蒙古族自治县
沧州市,7 度,0.15g,第二组,青县
,7 度,0.15g,第一组,青县、肃宁县、献县、任丘市、河间市
,7 度,0.10g,第三组,黄骅市
,7 度,0.10g,第二组,新华区、运河区、沧县3、东光县、南皮县、吴桥县、泊头市
,6 度,0.05g,第三组,海兴县、盐山县、孟村回族自治县
廊坊市,8 度,0.20g,第二组,安次区、广阳区、香河县、大厂回族自治县、三河市
,7 度,0.15g,第二组,固安县、永清县、文安县
,7 度,0.15g,第一组,大城县
,7 度,0.10g,第二组,霸州市
衡水市,7 度,0.15g,第一组,饶阳县、深州市
,7 度,0.10g,第二组,桃城区、武强县、冀州市
,7 度,0.10g,第一组,安平县
,6 度,0.05g,第三组,枣强县、武邑县、故城县、阜城县
,6 度,0.05g,第二组,景县
太原市,8 度,0.20g,第二组,小店区、迎泽区、杏花岭区、尖草坪区、万柏林区、晋源区、清徐县、阳曲县
,7 度,0.15g,第二组,古交市
,7 度,0.10g,第三组,娄烦县
大同市,8 度,0.20g,第二组,城区、矿区、南郊区、大同县
,7 度,0.15g,第三组,浑源县
,7 度,0.15g,第二组,新荣区、阳高县、天镇县、广灵县、灵丘县、左云县
阳泉市,7 度,0.10g,第三组,盂县
,7 度,0.10g,第二组,城区、矿区、郊区、平定县
长治市,7 度,0.10g,第三组,平顺县、武乡县、沁县、沁源县
,7 度,0.10g,第二组,城区、郊区、长治县、黎城县、壶关县、潞城市
,6 度,0.05g,第三组,襄垣县、屯留县、长子县
晋城市,7 度,0.10g,第三组,沁水县、陵川县
