Contents Damage Ratios (in % of contents replacement cost),,,,,
,Occupancy Class,Structural Damage State,Structural Damage State,Structural Damage State,Structural Damage State
No.,-,Slight,Moderate,Extensive,Complete
1,RES1,1,5,25,50
2,RES2,1,5,25,50
3,RES3A,1,5,25,50
4,RES3B,1,5,25,50
5,RES3C,1,5,25,50
6,RES3D,1,5,25,50
7,RES3E,1,5,25,50
8,RES3F,1,5,25,50
9,RES4,1,5,25,50
10,RES5,1,5,25,50
11,RES6,1,5,25,50
12,COM1,1,5,25,50
13,COM2,1,5,25,50
14,COM3,1,5,25,50
15,COM4,1,5,25,50
16,COM5,1,5,25,50
17,COM6,1,5,25,50
18,COM7,1,5,25,50
19,COM8,1,5,25,50
20,COM9,1,5,25,50
21,COM10,1,5,25,50
22,IND1,1,5,25,50
23,IND2,1,5,25,50
24,IND3,1,5,25,50
25,IND4,1,5,25,50
26,IND5,1,5,25,50
27,IND6,1,5,25,50
28,AGR1,1,5,25,50
29,REL1,1,5,25,50
30,GOV1,1,5,25,50
31,GOV2,1,5,25,50
32,EDU1,1,5,25,50
33,EDU2,1,5,25,50
