building type,typical height to roof (feet),"typical periods, Te (seconds)","modal factor, weight, alpha1","modal factor, height, alpha2","overstrength ratio, yield, gamma","overstrength ratio, ultimate, lambda"
W1,14,0.35,0.75,0.75,1.5,3
W2,24,0.4,0.75,0.75,1.5,2.5
S1L,24,0.5,0.8,0.75,1.5,3
S1M,60,1.08,0.8,0.75,1.25,3
S1H,156,2.21,0.75,0.6,1.1,3
S2L,24,0.4,0.75,0.75,1.5,2
S2M,60,0.86,0.75,0.75,1.25,2
S2H,156,1.77,0.65,0.6,1.1,2
S3,15,0.4,0.75,0.75,1.5,2
S4L,24,0.35,0.75,0.75,1.5,2.25
S4M,60,0.65,0.75,0.75,1.25,2.25
S4H,156,1.32,0.65,0.6,1.1,2.25
S5L,24,0.35,0.75,0.75,1.5,2
S5M,60,0.65,0.75,0.75,1.25,2
S5H,156,1.32,0.65,0.6,1.1,2
C1L,20,0.4,0.8,0.75,1.5,3
C1M,50,0.75,0.8,0.75,1.25,3
C1H,120,1.45,0.75,0.6,1.1,3
C2L,20,0.35,0.75,0.75,1.5,2.5
C2M,50,0.56,0.75,0.75,1.25,2.5
C2H,120,1.09,0.65,0.6,1.1,2.5
C3L,20,0.35,0.75,0.75,1.5,2.25
C3M,50,0.56,0.75,0.75,1.25,2.25
C3H,120,1.09,0.65,0.6,1.1,2.25
PC1,15,0.35,0.5,0.75,1.5,2
PC2L,20,0.35,0.75,0.75,1.5,2
PC2M,50,0.56,0.75,0.75,1.25,2
PC2H,120,1.09,0.65,0.6,1.1,2
RM1L,20,0.35,0.75,0.75,1.5,2
RM1M,50,0.56,0.75,0.75,1.25,2
RM2L,20,0.35,0.75,0.75,1.5,2
RM2M,50,0.56,0.75,0.75,1.25,2
RM2H,120,1.09,0.65,0.6,1.1,2
URML,15,0.35,0.5,0.75,1.5,2
URMM,35,0.5,0.75,0.75,1.25,2
MH,10,0.35,1,1,1.5,2
