building type,high-code,moderate-code,low-code,pre-code
W1,8,6,6,6
W2,8,6,6,6
S1L,8,6,5,5
S1M,5.3,4,3.3,3.3
S1H,4,3,2.5,2.5
S2L,8,6,5,5
S2M,5.3,4,3.3,3.3
S2H,4,3,2.5,2.5
S3,8,6,5,5
S4L,8,6,5,5
S4M,5.3,4,3.3,3.3
S4H,4,3,2.5,2.5
S5L,,,5,5
S5M,,,3.3,3.3
S5H,,,2.5,2.5
C1L,8,6,5,5
C1M,5.3,4,3.3,3.3
C1H,4,3,2.5,2.5
C2L,8,6,5,5
C2M,5.3,4,3.3,3.3
C2H,4,3,2.5,2.5
C3L,,,5,5
C3M,,,3.3,3.3
C3H,,,2.5,2.5
PC1,8,6,5,5
PC2L,8,6,5,5
PC2M,5.3,4,3.3,3.3
PC2H,4,3,2.5,2.5
RM1L,8,6,5,5
RM1M,5.3,4,3.3,3.3
RM2L,8,6,5,5
RM2M,5.3,4,3.3,3.3
RM2H,4,3,2.5,2.5
URML,,,5,5
URMM,,,3.3,3.3
MH,6,6,6,6
