building type,-,-,high-code,high-code,high-code,high-code,high-code,high-code,high-code,high-code,high-code,high-code,high-code,high-code,high-code,high-code,high-code,high-code,moderate-code,moderate-code,moderate-code,moderate-code,moderate-code,moderate-code,moderate-code,moderate-code,moderate-code,moderate-code,moderate-code,moderate-code,moderate-code,moderate-code,moderate-code,moderate-code,low-code,low-code,low-code,low-code,low-code,low-code,low-code,low-code,low-code,low-code,low-code,low-code,low-code,low-code,low-code,low-code,pre-code,pre-code,pre-code,pre-code,pre-code,pre-code,pre-code,pre-code,pre-code,pre-code,pre-code,pre-code,pre-code,pre-code,pre-code,pre-code
,Height (inches),Height (inches),Interstory Drift at Threshold of Damage State,Interstory Drift at Threshold of Damage State,Interstory Drift at Threshold of Damage State,Interstory Drift at Threshold of Damage State,Interstory Drift at Threshold of Damage State,Interstory Drift at Threshold of Damage State,Interstory Drift at Threshold of Damage State,Interstory Drift at Threshold of Damage State,Spectral Displacement (inches),Spectral Displacement (inches),Spectral Displacement (inches),Spectral Displacement (inches),Spectral Displacement (inches),Spectral Displacement (inches),Spectral Displacement (inches),Spectral Displacement (inches),Interstory Drift at Threshold of Damage State,Interstory Drift at Threshold of Damage State,Interstory Drift at Threshold of Damage State,Interstory Drift at Threshold of Damage State,Interstory Drift at Threshold of Damage State,Interstory Drift at Threshold of Damage State,Interstory Drift at Threshold of Damage State,Interstory Drift at Threshold of Damage State,Spectral Displacement (inches),Spectral Displacement (inches),Spectral Displacement (inches),Spectral Displacement (inches),Spectral Displacement (inches),Spectral Displacement (inches),Spectral Displacement (inches),Spectral Displacement (inches),Interstory Drift at Threshold of Damage State,Interstory Drift at Threshold of Damage State,Interstory Drift at Threshold of Damage State,Interstory Drift at Threshold of Damage State,Interstory Drift at Threshold of Damage State,Interstory Drift at Threshold of Damage State,Interstory Drift at Threshold of Damage State,Interstory Drift at Threshold of Damage State,Spectral Displacement (inches),Spectral Displacement (inches),Spectral Displacement (inches),Spectral Displacement (inches),Spectral Displacement (inches),Spectral Displacement (inches),Spectral Displacement (inches),Spectral Displacement (inches),Interstory Drift at Threshold of Damage State,Interstory Drift at Threshold of Damage State,Interstory Drift at Threshold of Damage State,Interstory Drift at Threshold of Damage State,Interstory Drift at Threshold of Damage State,Interstory Drift at Threshold of Damage State,Interstory Drift at Threshold of Damage State,Interstory Drift at Threshold of Damage State,Spectral Displacement (inches),Spectral Displacement (inches),Spectral Displacement (inches),Spectral Displacement (inches),Spectral Displacement (inches),Spectral Displacement (inches),Spectral Displacement (inches),Spectral Displacement (inches)
,-,-,Median,Beta,Median,Beta,Median,Beta,Median,Beta,Median,Beta,Median,Beta,Median,Beta,Median,Beta,Median,Beta,Median,Beta,Median,Beta,Median,Beta,Median,Beta,Median,Beta,Median,Beta,Median,Beta,Median,Beta,Median,Beta,Median,Beta,Median,Beta,Median,Beta,Median,Beta,Median,Beta,Median,Beta,Median,Beta,Median,Beta,Median,Beta,Median,Beta,Median,Beta,Median,Beta,Median,Beta,Median,Beta
,Roof,Modal,Slight,Slight,Moderate,Moderate,Extensive,Extensive,Complete,Complete,Slight,Slight,Moderate,Moderate,Extensive,Extensive,Complete,Complete,Slight,Slight,Moderate,Moderate,Extensive,Extensive,Complete,Complete,Slight,Slight,Moderate,Moderate,Extensive,Extensive,Complete,Complete,Slight,Slight,Moderate,Moderate,Extensive,Extensive,Complete,Complete,Slight,Slight,Moderate,Moderate,Extensive,Extensive,Complete,Complete,Slight,Slight,Moderate,Moderate,Extensive,Extensive,Complete,Complete,Slight,Slight,Moderate,Moderate,Extensive,Extensive,Complete,Complete
W1,168,126,0.004,0.4,0.012,0.4,0.04,0.4,0.1,0.4,0.5,0.8,1.51,0.81,5.04,0.85,12.6,0.97,0.004,0.4,0.0099,0.4,0.0306,0.4,0.075,0.4,0.5,0.84,1.25,0.86,3.86,0.89,9.45,1.04,0.004,0.4,0.0099,0.4,0.0306,0.4,0.075,0.4,0.5,0.93,1.25,0.98,3.86,1.02,9.45,0.99,0.0032,0.4,0.0079,0.4,0.0245,0.4,0.06,0.4,0.4,1.01,1,1.05,3.09,1.07,7.56,1.06
W2,288,216,0.004,0.4,0.012,0.4,0.04,0.4,0.1,0.4,0.86,0.81,2.59,0.88,8.64,0.9,21.6,0.83,0.004,0.4,0.0099,0.4,0.0306,0.4,0.075,0.4,0.86,0.89,2.14,0.95,6.62,0.95,16.2,0.92,0.004,0.4,0.0099,0.4,0.0306,0.4,0.075,0.4,0.86,0.97,2.14,0.9,6.62,0.89,16.2,0.99,0.0032,0.4,0.0079,0.4,0.0245,0.4,0.06,0.4,0.69,1.04,1.71,0.97,5.29,0.9,12.96,0.99
S1L,288,216,0.006,0.4,0.012,0.4,0.03,0.4,0.08,0.4,1.3,0.8,2.59,0.76,6.48,0.69,17.28,0.72,0.006,0.4,0.0104,0.4,0.0235,0.4,0.06,0.4,1.3,0.8,2.24,0.75,5.08,0.74,12.96,0.88,0.006,0.4,0.0096,0.4,0.0203,0.4,0.05,0.4,1.3,0.77,2.07,0.78,4.38,0.78,10.8,0.96,0.0048,0.4,0.0076,0.4,0.0162,0.4,0.04,0.4,1.04,0.85,1.65,0.82,3.5,0.8,8.64,0.95
S1M,720,540,0.004,0.4,0.008,0.4,0.02,0.4,0.0533,0.4,2.16,0.65,4.32,0.66,10.8,0.67,28.8,0.74,0.004,0.4,0.0069,0.4,0.0157,0.4,0.04,0.4,2.16,0.65,3.74,0.68,8.46,0.69,21.6,0.87,0.004,0.4,0.0064,0.4,0.0135,0.4,0.0333,0.4,2.16,0.68,3.44,0.78,7.3,0.85,18,0.98,0.0032,0.4,0.0051,0.4,0.0108,0.4,0.0267,0.4,1.73,0.7,2.76,0.75,5.84,0.81,14.4,0.98
S1H,1872,1123,0.003,0.4,0.006,0.4,0.015,0.4,0.04,0.4,3.37,0.64,6.74,0.64,16.85,0.65,44.93,0.67,0.003,0.4,0.0052,0.4,0.0118,0.4,0.03,0.4,3.37,0.64,5.83,0.64,13.21,0.71,33.7,0.83,0.003,0.4,0.0048,0.4,0.0101,0.4,0.025,0.4,3.37,0.66,5.37,0.7,11.38,0.76,28.08,0.92,0.0024,0.4,0.0038,0.4,0.0081,0.4,0.02,0.4,2.7,0.69,4.3,0.71,9.11,0.85,22.46,0.93
S2L,288,216,0.005,0.4,0.01,0.4,0.03,0.4,0.08,0.4,1.08,0.81,2.16,0.89,6.48,0.94,17.28,0.83,0.005,0.4,0.0087,0.4,0.0233,0.4,0.06,0.4,1.08,0.93,1.87,0.92,5.04,0.93,12.96,0.93,0.005,0.4,0.008,0.4,0.02,0.4,0.05,0.4,1.08,0.96,1.73,0.89,4.32,0.86,10.8,0.98,0.004,0.4,0.0064,0.4,0.016,0.4,0.04,0.4,0.86,1.01,1.38,0.96,3.46,0.88,8.64,0.98
S2M,720,540,0.0033,0.4,0.0067,0.4,0.02,0.4,0.0533,0.4,1.8,0.67,3.6,0.67,10.8,0.68,28.8,0.79,0.0033,0.4,0.0058,0.4,0.0156,0.4,0.04,0.4,1.8,0.7,3.12,0.69,8.4,0.69,21.6,0.89,0.0033,0.4,0.0053,0.4,0.0133,0.4,0.0333,0.4,1.8,0.7,2.88,0.73,7.2,0.85,18,0.98,0.0027,0.4,0.0043,0.4,0.0107,0.4,0.0267,0.4,1.44,0.73,2.3,0.75,5.76,0.8,14.4,0.98
