Building Clean-up and Repair Time (in Days),,,,,,
,,Structural Damage State,,,,
No.,Label,None,Slight,Moderate,Extensive ,Complete
1,RES1,0,2,30,90,180
2,RES2,0,2,10,30,60
3,RES3A,0,5,30,120,240
4,RES3B,0,5,30,120,240
5,RES3C,0,5,30,120,240
6,RES3D,0,5,30,120,240
7,RES3E,0,5,30,120,240
8,RES3F,0,5,30,120,240
9,RES4,0,5,30,120,240
10,RES5,0,5,30,120,240
11,RES6,0,5,30,120,240
12,COM1,0,5,30,90,180
13,COM2,0,5,30,90,180
14,COM3,0,5,30,90,180
15,COM4,0,5,30,120,240
16,COM5,0,5,30,90,180
17,COM6,0,10,45,180,360
18,COM7,0,10,45,180,240
19,COM8,0,5,30,90,180
20,COM9,0,5,30,120,240
21,COM10,0,2,20,80,160
22,IND1,0,10,30,120,240
23,IND2,0,10,30,120,240
24,IND3,0,10,30,120,240
25,IND4,0,10,30,120,240
26,IND5,0,20,45,180,360
27,IND6,0,5,20,80,160
28,AGR1,0,2,10,30,60
29,REL1,0,10,30,120,240
30,GOV1,0,10,30,120,240
31,GOV2,0,5,20,90,180
32,EDU1,0,10,30,120,240
33,EDU2,0,10,45,180,360
