Building Recovery Time (in Days),,,,,,
,,Structural Damage State,,,,
No.,Label,None,Slight,Moderate,Extensive ,Complete
1,RES1,0,5,120,360,720
2,RES2,0,5,20,120,240
3,RES3A,0,10,120,480,960
4,RES3B,0,10,120,480,960
5,RES3C,0,10,120,480,960
6,RES3D,0,10,120,480,960
7,RES3E,0,10,120,480,960
8,RES3F,0,10,120,480,960
9,RES4,0,10,90,360,480
10,RES5,0,10,90,360,480
11,RES6,0,10,120,480,960
12,COM1,0,10,90,270,360
13,COM2,0,10,90,270,360
14,COM3,0,10,90,270,360
15,COM4,0,20,90,360,480
16,COM5,0,20,90,180,360
17,COM6,0,20,135,540,720
18,COM7,0,20,135,270,540
19,COM8,0,20,90,180,360
20,COM9,0,20,90,180,360
21,COM10,0,5,60,180,360
22,IND1,0,10,90,240,360
23,IND2,0,10,90,240,360
24,IND3,0,10,90,240,360
25,IND4,0,10,90,240,360
26,IND5,0,20,135,360,540
27,IND6,0,10,60,160,320
28,AGR1,0,2,20,60,120
29,REL1,0,5,120,480,960
30,GOV1,0,10,90,360,480
31,GOV2,0,10,60,270,360
32,EDU1,0,10,90,360,480
33,EDU2,0,10,120,480,960
