building type,typical height to roof (feet),typical stories,story range
W1,14,1,1~2
W2,24,2,all
S1L,24,2,1~3
S1M,60,5,4~7
S1H,156,13,8+
S2L,24,2,1~3
S2M,60,5,4~7
S2H,156,13,8+
S3,15,1,all
S4L,24,2,1~3
S4M,60,5,4~7
S4H,156,13,8+
S5L,24,2,1~3
S5M,60,5,4~7
S5H,156,13,8+
C1L,20,2,1~3
C1M,50,5,4~7
C1H,120,12,8+
C2L,20,2,1~3
C2M,50,5,4~7
C2H,120,12,8+
C3L,20,2,1~3
C3M,50,5,4~7
C3H,120,12,8+
PC1,15,1,all
PC2L,20,2,1~3
PC2M,50,5,4~7
PC2H,120,12,8+
RM1L,20,2,1~3
RM1M,50,5,4+
RM2L,20,2,1~3
RM2M,50,5,4~7
RM2H,120,12,8+
URML,15,1,1~2
URMM,35,3,3+
MH,10,1,all
